Priority,Category,SourceName,SourceType,URL,UseFor,CodexInstruction,BestForProject,Notes
1,Accessibility / Non-negotiable baseline,W3C WCAG 2.2,Official web standard,https://www.w3.org/TR/WCAG22/,"Accessibility requirements, keyboard/focus behavior, forms, target size, error handling, authentication usability.","Treat WCAG 2.2 AA as the default accessibility floor. Do not build UI that breaks keyboard navigation, visible focus, contrast, labels, or error recovery.","All web apps, admin panels, SaaS dashboards, internal tools.","Use as acceptance criteria, not visual inspiration."
1,Accessibility / Checklist,Deque WCAG 2.2 AA Checklist PDF,PDF checklist,https://media.dequeuniversity.com/en/docs/web-accessibility-checklist-wcag-2.2.pdf,Practical QA checklist for accessibility review.,"Use this checklist when reviewing generated UI. Verify headings, landmarks, forms, dynamic content, keyboard use, widgets, media, and error states.","Final UI review, pull request checklist, regression testing.",Good repo-side reference for agents because it is checklist-shaped.
1,UX fundamentals,Nielsen Norman Group - 10 Usability Heuristics,UX guideline,https://www.nngroup.com/articles/ten-usability-heuristics/,"General UX sanity check: status visibility, user control, consistency, error prevention, recognition over recall, minimalist design.","When making UX decisions, prefer clarity, recovery, consistency, and visible system state over decorative complexity.","Every product screen, especially complex workflows.",Use as the simplest rule set for judging whether a UI is usable.
1,Enterprise design system,IBM Carbon Design System,Design system + code,https://carbondesignsystem.com/,"Enterprise SaaS, admin portals, data-heavy dashboards, forms, tables, filtering, navigation, layout.","For dense business UI, imitate Carbon-style spacing, tables, panels, hierarchy, component discipline, and restrained enterprise visual language.","Securityzator, MSP tools, reporting dashboards, admin portals.",Best primary visual and structural reference for serious enterprise dashboards.
1,Enterprise / Microsoft ecosystem,Microsoft Fluent 2,Design system,https://fluent2.microsoft.design/,"Microsoft/M365-style admin UX, productivity tools, app shells, navigation, tokens, controls.","When the app touches Microsoft 365, Entra, Defender, Intune, or productivity tooling, follow Fluent 2-style layout, controls, and interaction logic.","M365 dashboards, security-control visualizers, internal Microsoft-aligned SaaS.",Best reference when the product should feel native to Microsoft-heavy environments.
1,Code-first UI,shadcn/ui,Code-first component reference,https://ui.shadcn.com/docs,Modern React/Tailwind components that are easy for AI agents to inspect and modify.,"Prefer shadcn-style component composition: readable source, accessible primitives, Tailwind tokens, clean cards, dialogs, tables, forms, and command menus.","Codex-built prototypes, React dashboards, internal tools.","Best AI-friendly UI repo/reference because components are copyable source, not black-box package magic."
1,Accessible primitives,Radix Primitives,Component primitives,https://www.radix-ui.com/primitives/docs/overview/introduction,"Accessible low-level UI behavior: dialogs, dropdowns, tabs, popovers, keyboard behavior, focus management.","Use Radix-style behavior for interactive primitives. Do not hand-roll fragile focus traps, dropdown keyboard logic, modal behavior, or ARIA-heavy widgets.",React apps with complex controls.,Pair with shadcn/ui.
2,Technical product design,GitHub Primer,Design system,https://primer.style/,"Developer tools, repository browsers, issue/PR UIs, technical SaaS, command surfaces.","For technical interfaces, imitate Primer-style clarity: compact controls, clear hierarchy, useful empty states, restrained icons, practical navigation.","Repo tools, Codex-side dashboards, dev/admin panels.",Good reference for software-engineering-facing products.
2,Government / clarity-first UX,GOV.UK Design System,Design system + patterns,https://design-system.service.gov.uk/,"Forms, validation, content clarity, accessibility, service patterns, plain-language UX.","For forms and workflows, prefer GOV.UK-style clarity: obvious labels, plain text, direct errors, no mystery navigation, no decorative interference.","Forms, onboarding, configuration flows, compliance tooling.","Not visually flashy, but excellent for making UI actually usable."
2,Government / open-source components,USWDS,Design system + GitHub repo,https://github.com/uswds/uswds,"Accessible public-sector components, responsive patterns, forms, layout, visual style guide.",Use USWDS as a secondary accessible-component reference for public-sector or compliance-heavy screens.,"Compliance portals, structured forms, service UX.",Useful when you want accessibility discipline without enterprise SaaS gloss.
2,Project-management / collaboration UX,Atlassian Design System,Design system,https://atlassian.design/design-system,"Issue tracking, project management, tickets, operational dashboards, collaboration-heavy workflows.","For ticketing, boards, filters, statuses, actions, and collaboration screens, use Atlassian-style patterns as a reference.","MSP tooling, ConnectWise-style dashboards, task/ticket systems.",Good reference for operational workflow UI.
2,Modern visual language,Google Material Design 3,Design system,https://m3.material.io/,"Modern components, typography, motion, color, layout, adaptive UI.","Use Material 3 for modern polish, layout rhythm, component states, and motion restraint, but avoid making enterprise tools look like consumer mobile apps.","Modern web apps, responsive UI, visual polish.","Good secondary visual reference, not always ideal for dense enterprise data."
2,Modern visual language,Apple Human Interface Guidelines,Design guideline,https://developer.apple.com/design/human-interface-guidelines,"Content-first hierarchy, layering, translucency, adaptive materials, restrained motion, platform polish.","Use Apple HIG ideas for hierarchy, subtle depth, and content-first polish. Do not blindly copy Apple visuals into dense admin dashboards.","High-polish UI direction, glass/layering restraint.",Useful for visual taste; less useful as a web admin implementation spec.
2,Formal UX process,UX4G Handbook PDF,PDF handbook,https://www.ux4g.gov.in/assets/img/pdf/UX4G-Handbook.pdf,"UX process, research, personas, design systems, accessibility, mobile/web guidance, security, post-launch optimization.","Use this when producing formal UX rationale, product process notes, or design documentation for stakeholders.","Documentation, formal guidelines, stakeholder-friendly UX justification.",Large reference; not something to read on every code generation pass.
3,Inclusive UI,MOSIP User Interface Design Guidelines PDF,PDF guideline,https://www.mosip.io/program_partner/User-Interface-Design-Guidelines.pdf,"Inclusive UI, task clarity, multiple ways to complete goals, usability, visual coherence.",Use as a compact inclusive-design checklist when simplifying complex screens for mixed-skill users.,Public-facing or mixed-user-skill apps.,"Useful but secondary to WCAG, Deque, Carbon, and GOV.UK."
3,Field notes / practical enterprise UI,UI Design System Guidelines PDF by Jonelle Boyd,PDF practical guide,https://jonelleboyd.com/wp-content/uploads/2025/05/UI_Design_System_Guidelines.pdf,"Practical enterprise UI patterns: badges, tables, actions columns, copy buttons, sorting, WCAG AA reminders.","Use as practical field notes for dashboard/table ergonomics, not as an authoritative standard.",Table-heavy admin UI and quick UI reviews.,"Treat as useful notes, not scripture."
3,Enterprise code repo,IBM Carbon GitHub Repository,GitHub repo,https://github.com/carbon-design-system/carbon,Inspect enterprise-grade component implementation and docs.,"When building enterprise components, inspect Carbon implementation patterns before inventing new component behavior.",React component implementation reference.,Good for code-side inspection.
3,Government code repo,GOV.UK Design System GitHub Repository,GitHub repo,https://github.com/alphagov/govuk-design-system,Inspect service-pattern docs and implementation structure.,"Use for plain-language forms, validation, and structured service patterns.","Forms, onboarding, configuration, compliance screens.",Secondary code reference.
